t[s],Q[W],Tin[degC],Tout[degC]
60,0,8.556540639713191,8.556540639712791
120,0.0,8.85839698705507,8.858396987054105
180,0.0,9.06692616731218,9.066926167311523
240,0.0,9.204706088416387,9.204706088416193
300,0.0,9.22690857369696,9.226908573697008
360,0.0,9.23803176999601,9.238031769996228
420,0.0,9.24518956940657,9.245189569406902
480,0.0,9.24867950912237,9.24867950912276
540,0.0,9.247535542924801,9.247535542925178
600,0.0,9.235221270692554,9.235221270692783
660,0.0,9.215316394430303,9.215316394430292
720,0.0,9.193296488102474,9.193296488102215
780,0.0,9.174637125673517,9.174637125673062
840,0.0,9.163431696782967,9.16343169678242
900,0.0,9.153971202037276,9.153971202036633
960,0.0,9.145466017216803,9.145466017216068
1020,0.0,9.138709865678088,9.138709865677303
1080,0.0,9.134496470777679,9.134496470776932
1140,0.0,9.133210897223327,9.133210897222716
1200,0.0,9.132555822384665,9.132555822384194
1260,0.0,9.132045981610585,9.132045981610226
1320,0.0,9.13169278084482,9.131692780844542
1380,0.0,9.131507626031116,9.131507626030881
1440,0.0,9.131603029863262,9.131603029863022
1500,0.0,9.132538831372036,9.132538831371722
1560,0.0,9.134068087693933,9.134068087693503
1620,0.0,9.135792368913926,9.135792368913393
1680,0.0,9.137313245117001,9.137313245116419
1740,0.0,9.138335368460055,9.138335368459526
1800,0.0,9.139275894926824,9.139275894926422
1860,0.0,9.1401543607682,9.140154360767955
1920,0.0,9.140869764749482,9.140869764749361
1980,0.0,9.141321105635969,9.141321105635887
2040,0.0,9.141453312533903,9.141453312533745
2100,0.0,9.141517103787724,9.141517103787477
2160,0.0,9.141566673506963,9.141566673506647
2220,0.0,9.141600963177002,9.141600963176636
2280,0.0,9.141618914283235,9.14161891428284
2340,0.0,9.141608282587608,9.14160828258722
2400,0.0,9.141507212421635,9.141507212421319
2460,0.0,9.141342901737785,9.141342901737577
2520,0.0,9.14115929173264,9.141159291732547
2580,0.0,9.141000323602807,9.141000323602793
2640,0.0,9.140898455489669,9.140898455489669
2700,0.0,9.140806636615576,9.140806636615567
2760,0.0,9.14072188129446,9.140721881294438
2820,0.0,9.14065461313447,9.140654613134432
2880,0.0,9.140615255743766,9.140615255743711
2940,0.0,9.140609665420733,9.140609665420678
3000,0.0,9.14061291951697,9.140612919516926
3060,0.0,9.140619022507618,9.140619022507593
3120,0.0,9.140627424088903,9.14062742408891
3180,0.0,9.140637573957072,9.140637573957111
3240,0.0,9.140651085049047,9.140651085049125
3300,0.0,9.140679723479778,9.140679723479924
3360,0.0,9.140718958753816,9.14071895875404
3420,0.0,9.14076109622366,9.140761096223944
3480,0.0,9.140798441241817,9.140798441242119
3540,0.0,9.140825554830778,9.140825554831032
3600,0.0,9.14085181353446,9.140851813534624
3660,0.0,9.14087660775002,9.140876607750075
3720,0.0,9.140896587671046,9.140896587671003
3780,0.0,9.140908403491137,9.140908403491032
3840,0.0,9.140910125644417,9.140910125644307
3900,0.0,9.14090944713272,9.140909447132648
3960,0.0,9.140908260948155,9.140908260948143
4020,0.0,9.140906773674,9.140906773674054
4080,0.0,9.140905191893552,9.140905191893653
4140,0.0,9.140903572502042,9.140903572502156
4200,0.0,9.14090123484063,9.14090123484067
4260,0.0,9.140898567930229,9.14089856793016
4320,0.0,9.140896175111934,9.140896175111743
4380,0.0,9.140894659726836,9.140894659726564
4440,0.0,9.140895266767403,9.140895266767117
4500,0.0,9.140902032370995,9.140902032370686
4560,0.0,9.140913793554752,9.140913793554404
4620,0.0,9.140928419648136,9.140928419647743
4680,0.0,9.14094377998062,9.140943779980185
4740,0.0,9.140958756934555,9.140958756934083
4800,0.0,9.140977803456025,9.140977803455508
4860,0.0,9.140999092528626,9.140999092528064
4920,0.0,9.141019423226831,9.141019423226242
4980,0.0,9.141035594625125,9.141035594624539
5040,0.0,9.141045426755046,9.141045426754504
5100,0.0,9.141053652520089,9.141053652519606
5160,0.0,9.141060828080734,9.141060828080311
5220,0.0,9.141066296716685,9.141066296716309
5280,0.0,9.141069401707647,9.141069401707302
5340,0.0,9.141069138005466,9.14106913800513
5400,0.0,9.141063708947557,9.141063708947252
5460,0.0,9.1410553392817,9.14105533928144
5520,0.0,9.141046874757514,9.141046874757304
5580,0.0,9.141041161124642,9.141041161124466
5640,0.0,9.141040431757865,9.141040431757698
5700,0.0,9.141042195769003,9.141042195768883
5760,0.0,9.141045509922124,9.141045509922083
5820,0.0,9.141050082057685,9.141050082057744
5880,0.0,9.141055620016148,9.141055620016317
5940,0.0,9.1410630030111,9.14106300301136
6000,0.0,9.141078657665336,9.141078657665561
6060,0.0,9.141100268281482,9.141100268281589
6120,0.0,9.14112381235966,9.141123812359622
6180,0.0,9.141145267400008,9.141145267399859
6240,0.0,9.141161864764252,9.141161864764081
6300,0.0,9.141178778977112,9.141178778976961
6360,0.0,9.141195149112018,9.141195149111898
6420,0.0,9.141208552383922,9.141208552383839
6480,0.0,9.141216566007797,9.141216566007735
6540,0.0,9.141217207115153,9.141217207115092
6600,0.0,9.141212576982081,9.141212576982003
6660,0.0,9.14120480899348,9.141204808993368
6720,0.0,9.141195660099768,9.141195660099628
6780,0.0,9.141186887251383,9.141186887251218
6840,0.0,9.14117966147615,9.141179661475979
6900,0.0,9.14117159392075,9.141171593920589
6960,0.0,9.141163367791735,9.14116336779159
7020,0.0,9.141156416231398,9.141156416231269
7080,0.0,9.141152172382041,9.141152172381926
7140,0.0,9.141152684090162,9.141152684090054
7200,0.0,9.141161987158704,9.141161987158641
7260,0.0,9.141177999946736,9.141177999946748
7320,0.0,9.141197623058504,9.14119762305858
7380,0.0,9.141217757098245,9.14121775709836
7440,0.0,9.141236893901588,9.141236893901677
7500,0.0,9.1412619403724,9.141261940372358
7560,0.0,9.141289384562613,9.14128938456238
7620,0.0,9.141313512217444,9.141313512217021
7680,0.0,9.141328609082107,9.14132860908156
7740,0.0,9.141330885209658,9.141330885209097
7800,0.0,9.141329952061955,9.141329952061458
7860,0.0,9.141328165113029,9.141328165112649
7920,0.0,9.141325642976414,9.141325642976188
7980,0.0,9.141322504265641,9.141322504265597
8040,0.0,9.141317335382547,9.141317335382679
8100,0.0,9.141302001851988,9.141302001852175
8160,0.0,9.141280691736439,9.141280691736592
8220,0.0,9.14125989647354,9.141259896473615
8280,0.0,9.14124610750093,9.141246107500942
8340,0.0,9.141244185075529,9.141244185075527
8400,0.0,9.141246901468401,9.141246901468394
8460,0.0,9.14125197333846,9.141251973338443
8520,0.0,9.141258917203507,9.141258917203475
8580,0.0,9.141267249581354,9.141267249581306
8640,0.0,9.14127841386854,9.141278413868468
8700,0.0,9.14130260590866,9.141302605908516
8760,0.0,9.141335022750436,9.141335022750203
8820,0.0,9.141368004487344,9.141368004487044
8880,0.0,9.141393891212866,9.141393891212552
8940,0.0,9.1414071428099,9.141407142809657
9000,0.0,9.141417179697338,9.141417179697186
9060,0.0,9.14142575686342,9.141425756863352
9120,0.0,9.1414321913509,9.141432191350907
9180,0.0,9.141435800202554,9.141435800202606
9240,0.0,9.141435411156124,9.141435411156154
9300,0.0,9.141428339159072,9.141428339158908
9360,0.0,9.14141688401871,9.141416884018264
9420,0.0,9.141404164882548,9.141404164881841
9480,0.0,9.141393300898102,9.141393300897274
9540,0.0,9.141386603313077,9.141386603312357
9600,0.0,9.141380739357395,9.14138073935689
9660,0.0,9.141375393476043,9.141375393475782
9720,0.0,9.14137118691084,9.141371186910796
9780,0.0,9.14136874090362,9.141368740903712
9840,0.0,9.141368985492482,9.141368985492594
9900,0.0,9.141373844298728,9.141373844298837
9960,0.0,9.1413821594558,9.141382159455894
10020,0.0,9.141392261158785,9.141392261158865
10080,0.0,9.141402479602785,9.14140247960285
10140,0.0,9.141411717579865,9.141411717579912
10200,0.0,9.141422335937843,9.141422335937849
10260,0.0,9.141433658761889,9.141433658761848
10320,0.0,9.141444274498435,9.141444274498363
10380,0.0,9.141452771593931,9.141452771593856
10440,0.0,9.141458222951073,9.141458222951039
10500,0.0,9.141462913773335,9.14146291377336
10560,0.0,9.141467034773223,9.141467034773306
10620,0.0,9.141470192153216,9.141470192153351
10680,0.0,9.141471992115807,9.141471992115973
10740,0.0,9.141472165612363,9.141472165612532
10800,0.0,9.141471452085273,9.14147145208542
10860,0.0,9.141470352081663,9.141470352081777
10920,0.0,9.141469239611064,9.141469239611146
10980,0.0,9.14146848868302,9.141468488683081
11040,0.0,9.141468449072654,9.141468449072708
11100,0.0,9.141469140555515,9.141469140555547
11160,0.0,9.141470407135031,9.141470407135023
11220,0.0,9.141472099666341,9.14147209966629
