t[s],Q[W],Tin[degC],Tout[degC]
0.0,0,9.142343674578765,9.142343674578019
60,9573.627907771923,9.142343675,9.142343675
120,10118.02334636148,9.228576638771585,11.449806040965687
180,10097.393158599903,9.296820343906463,12.855119064607013
240,10099.467205358867,9.372486907843355,13.90349542330358
300,10079.726845405194,9.451776664169383,14.280568814653826
360,10084.817158105081,9.554942545,14.463928613556904
420,10096.24766029969,9.679134453985887,14.598636177218758
480,10107.034142593431,9.816116018848032,14.710664339020768
540,10120.618869670068,9.957650868426231,14.825985932344334
600,10114.503681856373,10.098129928307737,14.965304461505774
660,10104.044653414045,10.248520853460144,15.109293498894008
720,10105.926253385875,10.407033656004518,15.252973019043305
780,10101.71323731773,10.56859681373146,15.397047477172812
840,10098.549894464555,10.728138804431572,15.542221328501691
900,10095.081537944805,10.881890049759477,15.689674423024544
960,10083.949776620884,11.034920746998118,15.84179627147191
1020,10081.705483299038,11.187015179704227,15.99570220686652
1080,10063.26297,11.336414162634458,16.14767711826934
1140,10104.449035009988,11.481358510545476,16.29400589474134
1200,10106.769910428535,11.620586068306263,16.431843548329677
1260,10114.224803303267,11.756196602627863,16.564695168514152
1320,10118.321749450368,11.888250800887612,16.69326590910578
1380,10069.665794005994,12.016218429696547,16.817287859584628
1440,10063.171063212556,12.139569255665727,16.936493109430778
1500,10066.306182446042,12.257892124519438,17.050643354486485
1560,10065.817518474882,12.37180980754225,17.160018357536785
1620,10063.16863698961,12.48183513454543,17.265303037706666
1680,10026.608188649567,12.588369572957445,17.367189139335682
1740,10014.345364530118,12.691814590206787,17.466368406763433
1800,10034.204758876143,12.792549012050692,17.563324478575545
1860,10023.937818579026,12.890651115105683,17.657307885704352
1920,10030.888956427154,12.986047817910611,17.748712108970206
1980,9997.511679702266,13.078673466799389,17.83820112436506
2040,9987.422890225089,13.168462408105935,17.92643891
2100,10010.629485638972,13.255377955215009,18.014065498917677
2160,10020.988022306843,13.339636478437495,18.101129874911845
2220,10040.826834907572,13.421430164545212,18.18706809438494
2280,10048.003198978491,13.500924314767401,18.271287926468215
2340,10041.06452748947,13.578284230333313,18.353197140292966
2400,10035.800680236307,13.653637607659315,18.43235704413511
2460,10066.493688040398,13.72690638508404,18.50943078814839
2520,10062.708453283994,13.798247309828504,18.58455651364769
2580,10080.94957452773,13.867868264265633,18.657698188987425
2640,10049.009111148496,13.93597713076836,18.728819782522024
2700,10082.532910455939,14.00274256491948,18.798050967273635
2760,10074.411377654546,14.068061507824995,18.866223728774976
2820,10069.320320404506,14.131981251653581,18.932796751266505
2880,10083.614128698577,14.194594881314995,18.996976371029916
2940,10077.049562752347,14.255995481719005,19.057968924346913
3000,10084.244345013618,14.316278426491323,19.115033546350684
3060,10068.744538947967,14.375500779971553,19.168408092185587
3120,10066.38998277852,14.433621085273336,19.219143794194153
3180,10061.63348,14.490588051693518,19.26831130537586
3240,10024.625758084045,14.546350388528953,19.31698127873021
3300,9995.486969,14.600893314428918,19.365880116250036
3360,9982.857099127777,14.654405800150755,19.413623494902346
3420,9947.327404719903,14.706855455868496,19.46060028369579
3480,9948.306929363194,14.75816077354595,19.50763743226201
3540,9990.362015943296,14.808240245146932,19.555561890232692
3600,9980.333664413616,14.857039463365833,19.60530238746506
3660,9991.354028086744,14.904700670467092,19.657525755971243
3720,10028.557452916972,14.951277031414183,19.710906532449584
3780,10022.375273481339,14.996791254945059,19.763872581772343
3840,10023.436037755662,15.041266049797692,19.81485176881178
3900,10028.765748925513,15.084697643638966,19.86261907059331
3960,10028.86872551127,15.126992865933788,19.908543284158213
4020,10020.88459666887,15.168315854218006,19.952976708794615
4080,10000.258641721068,15.208874093303477,19.995891482815214
4140,10044.738872228649,15.248875068002052,20.037259744532747
4200,10004.344695374393,15.288467373125512,20.07691286562442
4260,10012.042637928083,15.327427235675312,20.114243100714578
4320,10012.92827850745,15.365815505689707,20.150070308979295
4380,10028.103348073071,15.403766481160678,20.18544954637528
4440,10036.441762795248,15.44141446008023,20.221435868859263
4500,10036.072673642535,15.47886606621997,20.258861967153145
4560,10037.824348754653,15.51602248208797,20.29691098
4620,10028.606367562374,15.552868179956095,20.335437285705908
4680,10053.09509044426,15.589418120546107,20.374540370863883
4740,10067.549376402298,15.625687264579783,20.41431974041657
4800,10072.320762209614,15.661696805538885,20.45499044549422
4860,10078.290041827233,15.697481694223232,20.497130227004853
4920,10072.441008776113,15.733004249878674,20.540148651293983
4980,10081.123191215644,15.768215626071472,20.583262514528833
5040,10121.624430972815,15.803066976367905,20.62568861287662
5100,10143.959390599444,15.837524276481558,20.66701644
5160,10095.027881940337,15.871651050271545,20.7088426
5220,10106.450989423229,15.905445524192585,20.75038321280995
5280,10167.179621265519,15.938887944362483,20.79034335645957
5340,10195.818716635533,15.971958556899063,20.827428106847606
5400,10176.512404089397,16.004640946025123,20.860464060109358
5460,10146.645792958618,16.036951349493467,20.889938442865848
5520,10131.859891024114,16.068909004120638,20.91722962979763
